id,geo_cluster
1183005,0
1183236,0
1187643,0
1195260,0
1197899,0
1198874,0
1205103,0
1213745,0
1215122,0
1215627,1
1215836,0
1220548,0
1221332,0
1221962,0
1239293,0
1240586,0
1245479,0
1245977,0
1251681,0
1255828,0
1256670,0
1258651,0
1260727,0
1263964,0
1267186,0
1268154,0
1271103,0
1273533,0
1276760,0
1277955,0
1278784,0
1279234,0
1281023,0
1284776,0
1284789,0
1291020,0
1291245,0
1294973,0
1870228,0
1876511,0
1876811,0
1876969,0
1885714,0
1886240,0
1886294,0
1886820,-1
1891118,0
1891274,0
1893225,0
1897447,0
1898110,0
1901154,0
1901357,0
1903198,0
1906604,0
1914185,0
1914231,0
1918693,0
1921859,0
1924645,0
1793091,0
1793104,0
1793411,0
1797025,0
1798500,0
1801130,0
1810640,0
1813681,0
1817510,0
1336230,0
1342443,0
1349187,0
1354250,0
1354973,0
1355654,0
1357021,0
1359130,0
1361017,0
1380326,0
1382607,0
1392079,0
1392144,0
1396458,0
1398234,0
1398326,0
1401826,0
1403635,0
1404828,0
1407633,0
1408406,0
1411811,0
1421933,0
1437044,0
1438870,0
1440363,0
1442450,0
1446483,0
1449263,0
1457505,0
1458987,0
1461965,0
1467106,0
1467618,0
1474752,0
1475084,0
1475427,0
1476238,0
1479283,0
1480002,0
1491991,0
1499635,0
1506985,0
1511303,0
1513777,0
1521335,0
1524017,0
1530386,0
1533652,0
1534212,0
1549413,0
1551044,0
1555491,0
1559912,0
1566326,0
1578103,0
1581579,0
1584619,0
1589248,0
1591811,0
1596314,0
1604488,0
1604489,0
1606312,0
1617443,0
1617488,0
1619695,0
1621235,0
2028291,0
2028432,0
2028677,0
2031495,0
2032156,0
2033224,0
2041041,0
2042764,0
2043060,0
2043329,0
