neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,days_since_last_review,log_price
Manhattan,Harlem,Private room,90.0,30,36,0.23,1,89,0,2110.0,4.5108595
Manhattan,Chelsea,Entire home/apt,149.0,30,38,0.23,1,49,0,398.0,5.0106354
Brooklyn,Prospect Heights,Entire home/apt,150.0,30,19,0.11,1,356,0,2232.0,5.0172796
Brooklyn,Williamsburg,Entire home/apt,180.0,30,11,0.07,1,312,0,2162.0,5.198497
Staten Island,Shore Acres,Entire home/apt,88.0,30,101,0.6,1,246,2,183.0,4.4886365
Manhattan,Upper West Side,Entire home/apt,140.0,30,112,0.66,1,67,5,35.0,4.94876
Brooklyn,Bedford-Stuyvesant,Private room,160.0,30,92,0.55,1,364,0,1175.0,5.081404
Manhattan,East Harlem,Entire home/apt,145.0,30,127,0.75,4,128,4,32.0,4.983607
Queens,Ridgewood,Private room,83.0,30,24,0.16,1,365,0,697.0,4.4308167
Brooklyn,South Slope,Entire home/apt,362.0,30,39,0.24,1,265,0,719.0,5.894403
Manhattan,Midtown,Entire home/apt,143.0,30,162,0.96,1,75,4,33.0,4.9698133
Manhattan,Lower East Side,Entire home/apt,180.0,30,122,0.73,1,236,5,26.0,5.198497
Queens,Ditmars Steinway,Entire home/apt,250.0,30,57,0.34,1,358,0,588.0,5.525453
Bronx,Kingsbridge,Private room,44.0,30,121,0.79,3,246,0,397.0,3.8066626
Manhattan,Harlem,Entire home/apt,283.0,30,10,0.06,11,299,1,21.0,5.6489744
Manhattan,Harlem,Entire home/apt,200.0,30,9,0.06,11,335,0,1031.0,5.303305
Manhattan,Upper East Side,Private room,65.0,30,8,0.12,1,271,3,49.0,4.189655
Manhattan,East Harlem,Entire home/apt,150.0,30,12,0.08,1,88,0,3416.0,5.0172796
Brooklyn,Williamsburg,Entire home/apt,175.0,60,1,0.02,3,304,0,1687.0,5.170484
Brooklyn,Crown Heights,Private room,65.0,30,32,0.22,2,179,0,1293.0,4.189655
Queens,Astoria,Private room,95.0,30,19,0.11,3,365,0,3937.0,4.564348
